,instruction,input,output
1528,"COL CCN VAL 14T166 COL Facility VAL ST MARYS HOSPITAL COL Address1 VAL 1800 E LAKE SHORE DR COL City VAL DECATUR COL State VAL IL COL ZipCode VAL 62521 COL County VAL Macon COL PhoneNumber VAL (217) 464-5195 COL CMSRegion VAL 1 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 1 ,5
1529,COL CCN VAL 14T166 COL Facility VAL ST MARYS HOSPITAL COL Address1 VAL 1800 E LAKE SHORE DR COL City VAL DECATUR COL State VAL IL COL ZipCode VAL 62521 COL County VAL Macon COL PhoneNumber VAL (217) 464-5195 COL CMSRegion VAL 5 COL Condition VAL  ,COL Condition VAL  ,Brain injury (traumatic)
1530,COL CCN VAL 16T030 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL CCN VAL 16T030 ,14T172
1531,COL CCN VAL 14T172 COL Facility VAL GLANCY REHABILITATION CENTER COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL GLANCY REHABILITATION CENTER ,SANFORD HEALTH SYSTEM
1532,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 801 POINCIANA AVE COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 801 POINCIANA AVE ,20201 S. CRAWFORD
1533,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL DANVILLE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL City VAL DANVILLE ,FLORENCE
1534,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL NV COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL State VAL NV ,IL
1535,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 4501 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL ZipCode VAL 4501 ,60461
1536,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Clayton COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL County VAL Clayton ,Cook
1537,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (334) 732-2200 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL PhoneNumber VAL (334) 732-2200 ,(708) 747-4000
1538,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 10 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 10 ,5
1539,COL CCN VAL 14T172 COL Facility VAL SANFORD HEALTH SYSTEM COL Address1 VAL 20201 S. CRAWFORD COL City VAL FLORENCE COL State VAL IL COL ZipCode VAL 60461 COL County VAL Cook COL PhoneNumber VAL (708) 747-4000 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL Condition VAL Hip or femur fracture ,Brain injury (traumatic)
1540,COL CCN VAL 25T152 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL CCN VAL 25T152 ,14T182
1541,COL CCN VAL 14T182 COL Facility VAL MSSOURI DELTA MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL Facility VAL MSSOURI DELTA MEDICAL CENTER ,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER
1542,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 308 WILLOW AVENUE COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL Address1 VAL 308 WILLOW AVENUE ,836 W. WELLINGTON STREET
1543,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL MALVERN COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL City VAL MALVERN ,CHICAGO
1544,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL P COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL State VAL P ,IL
1545,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 16544 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL ZipCode VAL 16544 ,60657
1546,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Etowah COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL County VAL Etowah ,Cook
1547,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (916) 453-4531 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL PhoneNumber VAL (916) 453-4531 ,(773) 293-7523
1548,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 3 COL Condition VAL Stroke ,COL CMSRegion VAL 3 ,5
1549,COL CCN VAL 14T182 COL Facility VAL ADVOCATE ILLINOIS MASONIC MEDICAL CENTER COL Address1 VAL 836 W. WELLINGTON STREET COL City VAL CHICAGO COL State VAL IL COL ZipCode VAL 60657 COL County VAL Cook COL PhoneNumber VAL (773) 293-7523 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL Condition VAL All other conditions ,Brain disease or condition (non-traumatic)
1550,COL CCN VAL 113035 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL CCN VAL 113035 ,14T186
1551,"COL CCN VAL 14T186 COL Facility VAL COMMUNITY HOSPITALS OF WILLIAMS COUNTY COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL COMMUNITY HOSPITALS OF WILLIAMS COUNTY ,RIVERSIDE MEDICAL CENTER
1552,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 1000 HARRINGTON ST COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Address1 VAL 1000 HARRINGTON ST ,350 N WALL
1553,"COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL NW YORK COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL City VAL NW YORK ,KANKAKEE
1554,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL NE COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL State VAL NE ,IL
1555,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 50309 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL ZipCode VAL 50309 ,60901
1556,"COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Martin COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL County VAL Martin ,Kankakee
1557,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (508) 791-6351 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL PhoneNumber VAL (508) 791-6351 ,(502) 596-6346
1558,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 6 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CMSRegion VAL 6 ,5
1559,COL CCN VAL 14T186 COL Facility VAL RIVERSIDE MEDICAL CENTER COL Address1 VAL 350 N WALL COL City VAL KANKAKEE COL State VAL IL COL ZipCode VAL 60901 COL County VAL Kankakee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL Condition VAL Brain disease or condition (non-traumatic) ,Spinal cord disease or condition (non-traumatic)
1560,COL CCN VAL 373036 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL CCN VAL 373036 ,14T191
1561,COL CCN VAL 14T191 COL Facility VAL PLMDALE REGIONAL MEDICAL CTR COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL PLMDALE REGIONAL MEDICAL CTR ,INGALLS MEMORIAL HOSPITAL
1562,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL 23625 HOLMAN HWY COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Address1 VAL 23625 HOLMAN HWY ,ONE INGALLS DRIVE
1563,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL 355 DARDANELLI COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL City VAL 355 DARDANELLI ,HARVEY
1564,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL DE COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL State VAL DE ,IL
1565,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60005 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL ZipCode VAL 60005 ,60426
1566,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Wayne COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL County VAL Wayne ,Cook
1567,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (314) 889-2704 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL PhoneNumber VAL (314) 889-2704 ,(708) 915-4686
1568,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 4 ,5
1569,COL CCN VAL 14T191 COL Facility VAL INGALLS MEMORIAL HOSPITAL COL Address1 VAL ONE INGALLS DRIVE COL City VAL HARVEY COL State VAL IL COL ZipCode VAL 60426 COL County VAL Cook COL PhoneNumber VAL (708) 915-4686 COL CMSRegion VAL 5 COL Condition VAL Hp or femur fracture ,COL Condition VAL Hp or femur fracture ,Brain injury (traumatic)
1570,COL CCN VAL 393026 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL CCN VAL 393026 ,14T208
1571,COL CCN VAL 14T208 COL Facility VAL FRBES REGIONAL HOSPITAL COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL Facility VAL FRBES REGIONAL HOSPITAL ,ADVOCATE CHRIST MEDICAL CENTER
1572,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL 503 MCMILAN ROAD COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL Address1 VAL 503 MCMILAN ROAD ,ADVOCATE CHRIST MEDICAL CENTER
1573,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL HUNTSVILLE COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL City VAL HUNTSVILLE ,OAK LAWN
1574,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL LA COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL State VAL LA ,IL
1575,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 86401 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL ZipCode VAL 86401 ,60453
1576,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Brnalillo COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL County VAL Brnalillo ,Cook
1577,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (50) 498-7804 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL PhoneNumber VAL (50) 498-7804 ,(708) 684-2000
1578,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CMSRegion VAL 4 ,5
1579,COL CCN VAL 14T208 COL Facility VAL ADVOCATE CHRIST MEDICAL CENTER COL Address1 VAL ADVOCATE CHRIST MEDICAL CENTER COL City VAL OAK LAWN COL State VAL IL COL ZipCode VAL 60453 COL County VAL Cook COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Condition VAL Spinal cord disease or condition (non-traumatic) ,Brain disease or condition (non-traumatic)
1580,"COL CCN VAL 01T033 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 01T033 ,14T213
1581,COL CCN VAL 14T213 COL Facility VAL MERCY WEST HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL Facility VAL MERCY WEST HOSPITAL ,SILVER CROSS HOSPITAL
1582,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 10101 PARK ROWE AVENUE COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL Address1 VAL 10101 PARK ROWE AVENUE ,1900 SILVER CROSS BLVD.
1583,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL SOUTH BEND COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL City VAL SOUTH BEND ,NEW LENOX
1584,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL NM COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL State VAL NM ,IL
1585,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 63128 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL ZipCode VAL 63128 ,60451
1586,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Ocean COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Ocean ,Will
1587,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (810) 406-7937 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL PhoneNumber VAL (810) 406-7937 ,(815) 300-1100
1588,"COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 6 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 6 ,5
1589,COL CCN VAL 14T213 COL Facility VAL SILVER CROSS HOSPITAL COL Address1 VAL 1900 SILVER CROSS BLVD. COL City VAL NEW LENOX COL State VAL IL COL ZipCode VAL 60451 COL County VAL Will COL PhoneNumber VAL (815) 300-1100 COL CMSRegion VAL 5 COL Condition VAL Hp or femur fracture ,COL Condition VAL Hp or femur fracture ,Hip or femur fracture
1590,"COL CCN VAL 193099 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 193099 ,14T217
1591,COL CCN VAL 14T217 COL Facility VAL SYCAMORE MEDICAL CENTER COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL SYCAMORE MEDICAL CENTER ,PRESENCE ST JOSEPH - ELGIN
1592,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 5352 LINTON BLVD COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 5352 LINTON BLVD ,77 N. AIRLITE STREET
1593,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL BEND COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL City VAL BEND ,ELGIN
1594,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL CA COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL State VAL CA ,IL
1595,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 33064 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL ZipCode VAL 33064 ,60123
1596,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Vance COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Vance ,Kane
1597,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL PhoneNumber VAL (248) 898-7319 ,(502) 596-6346
1598,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 3 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 3 ,5
1599,COL CCN VAL 14T217 COL Facility VAL PRESENCE ST JOSEPH - ELGIN COL Address1 VAL 77 N. AIRLITE STREET COL City VAL ELGIN COL State VAL IL COL ZipCode VAL 60123 COL County VAL Kane COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL Condition VAL All other conditions ,"Hip or knee replacement, amputation or other bone or joint condition"
